指標編號,指標類別,關鍵字,中英文類型,提取值,數據類型,信心分數,信心等級,來源頁面,提取狀態,來源文本摘要,備註
1,指標1_再生材料使用比例,PCR material use,英文,提取失敗,error,0.000,極低,"第56頁, 第167頁, 第55頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
1,指標1_再生材料使用比例,post-consumer plastic share,英文,提取失敗,error,0.000,極低,"第86頁, 第56頁, 第62頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
1,指標1_再生材料使用比例,Recycled Content Claim,英文,提取失敗,error,0.000,極低,"第163頁, 第3頁, 第23頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
2,指標2_碳排放數據比較,再生材料碳排放,中文,提取失敗,error,0.000,極低,"第86頁, 第84頁, 第83頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
2,指標2_碳排放數據比較,碳足跡比較,中文,提取失敗,error,0.000,極低,"第93頁, 第66頁, 第83頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
2,指標2_碳排放數據比較,再生料減碳量,中文,提取失敗,error,0.000,極低,"第93頁, 第83頁, 第167頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
2,指標2_碳排放數據比較,歷年GHG排放量,中文,提取失敗,error,0.000,極低,"第162頁, 第92頁, 第91頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
2,指標2_碳排放數據比較,減碳數據,中文,提取失敗,error,0.000,極低,"第93頁, 第66頁, 第66頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
2,指標2_碳排放數據比較,碳排年表,中文,提取失敗,error,0.000,極低,"第10頁, 第66頁, 第91頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
2,指標2_碳排放數據比較,GHG減量,中文,提取失敗,error,0.000,極低,"第81頁, 第9頁, 第95頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
2,指標2_碳排放數據比較,recycled material carbon footprint,英文,提取失敗,error,0.000,極低,"第8頁, 第93頁, 第58頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
2,指標2_碳排放數據比較,CO2 savings over years,英文,提取失敗,error,0.000,極低,"第66頁, 第10頁, 第83頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
2,指標2_碳排放數據比較,annual GHG reduction,英文,提取失敗,error,0.000,極低,"第118頁, 第161頁, 第159頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
2,指標2_碳排放數據比較,CO2e savings by PCR,英文,提取失敗,error,0.000,極低,"第56頁, 第162頁, 第90頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
2,指標2_碳排放數據比較,carbon footprint of recycled materials,英文,提取失敗,error,0.000,極低,"第84頁, 第58頁, 第93頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
2,指標2_碳排放數據比較,GHG reduction by recycled content,英文,提取失敗,error,0.000,極低,"第23頁, 第161頁, 第27頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
3,指標3_資源循環效益比較,原生料與再生料比較,中文,提取失敗,error,0.000,極低,"第84頁, 第167頁, 第107頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
3,指標3_資源循環效益比較,資源節省,中文,提取失敗,error,0.000,極低,"第95頁, 第98頁, 第70頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
3,指標3_資源循環效益比較,資源使用效率,中文,提取失敗,error,0.000,極低,"第68頁, 第68頁, 第75頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
3,指標3_資源循環效益比較,再生材料節能與新料比較,中文,提取失敗,error,0.000,極低,"第84頁, 第86頁, 第75頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
3,指標3_資源循環效益比較,回收資源效率,中文,提取失敗,error,0.000,極低,"第56頁, 第107頁, 第167頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
3,指標3_資源循環效益比較,virgin vs recycled resource efficiency,英文,提取失敗,error,0.000,極低,"第61頁, 第168頁, 第86頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
3,指標3_資源循環效益比較,material savings,英文,提取失敗,error,0.000,極低,"第107頁, 第109頁, 第163頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
3,指標3_資源循環效益比較,resource efficiency,英文,提取失敗,error,0.000,極低,"第29頁, 第28頁, 第27頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
3,指標3_資源循環效益比較,virgin vs recycled materials,英文,提取失敗,error,0.000,極低,"第56頁, 第55頁, 第86頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
3,指標3_資源循環效益比較,environmental savings comparison,英文,提取失敗,error,0.000,極低,"第73頁, 第5頁, 第29頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
3,指標3_資源循環效益比較,recycled vs virgin environmental impact,英文,提取失敗,error,0.000,極低,"第29頁, 第72頁, 第160頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
4,指標4_產品延長壽命,產品壽命,中文,提取失敗,error,0.000,極低,"第63頁, 第169頁, 第164頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
4,指標4_產品延長壽命,延長使用年限,中文,提取失敗,error,0.000,極低,"第8頁, 第144頁, 第36頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
4,指標4_產品延長壽命,可維修設計,中文,提取失敗,error,0.000,極低,"第164頁, 第85頁, 第63頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
4,指標4_產品延長壽命,模組化設計,中文,提取失敗,error,0.000,極低,"第56頁, 第13頁, 第46頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
4,指標4_產品延長壽命,耐用性提升,中文,提取失敗,error,0.000,極低,"第55頁, 第144頁, 第84頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
4,指標4_產品延長壽命,維修服務年限,中文,提取失敗,error,0.000,極低,"第132頁, 第144頁, 第141頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
4,指標4_產品延長壽命,延長保固,中文,提取失敗,error,0.000,極低,"第136頁, 第172頁, 第3頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
4,指標4_產品延長壽命,product lifespan,英文,提取失敗,error,0.000,極低,"第164頁, 第93頁, 第87頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
4,指標4_產品延長壽命,durability,英文,是,boolean_or_number,0.900,高,"第122頁, 第87頁, 第62頁",成功提取,,無來源文本
4,指標4_產品延長壽命,modular design,英文,提取失敗,error,0.000,極低,"第13頁, 第59頁, 第87頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
4,指標4_產品延長壽命,repairability,英文,提取失敗,error,0.000,極低,"第141頁, 第145頁, 第25頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
4,指標4_產品延長壽命,upgradeable,英文,提取失敗,error,0.000,極低,"第27頁, 第85頁, 第144頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
4,指標4_產品延長壽命,extension service life,英文,提取失敗,error,0.000,極低,"第46頁, 第1頁, 第31頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
5,指標5_單位經濟效益,每公斤成本,中文,提取失敗,error,0.000,極低,"第66頁, 第95頁, 第167頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
5,指標5_單位經濟效益,每單位碳排放,中文,提取失敗,error,0.000,極低,"第92頁, 第162頁, 第66頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
5,指標5_單位經濟效益,每單位效益,中文,提取失敗,error,0.000,極低,"第164頁, 第167頁, 第44頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
5,指標5_單位經濟效益,再生塑膠性價比,中文,提取失敗,error,0.000,極低,"第144頁, 第169頁, 第86頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
5,指標5_單位經濟效益,循環效益與成本比,中文,提取失敗,error,0.000,極低,"第86頁, 第77頁, 第66頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
5,指標5_單位經濟效益,unit economic benefit,英文,提取失敗,error,0.000,極低,"第44頁, 第33頁, 第27頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
5,指標5_單位經濟效益,cost per kg,英文,提取失敗,error,0.000,極低,"第167頁, 第77頁, 第125頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
5,指標5_單位經濟效益,CO2 per unit,英文,提取失敗,error,0.000,極低,"第66頁, 第162頁, 第171頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
5,指標5_單位經濟效益,ROI of recycling,英文,提取失敗,error,0.000,極低,"第101頁, 第29頁, 第163頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
5,指標5_單位經濟效益,lifecycle cost benefit,英文,提取失敗,error,0.000,極低,"第55頁, 第77頁, 第61頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
5,指標5_單位經濟效益,economic efficiency of recycling,英文,提取失敗,error,0.000,極低,"第86頁, 第109頁, 第167頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
5,指標5_單位經濟效益,lifecycle unit cost,英文,提取失敗,error,0.000,極低,"第55頁, 第66頁, 第77頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
5,指標5_單位經濟效益,unit GHG,英文,提取失敗,error,0.000,極低,"第162頁, 第161頁, 第118頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
5,指標5_單位經濟效益,recycled vs virgin unit value,英文,提取失敗,error,0.000,極低,"第163頁, 第168頁, 第86頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
6,指標6_循環再製次數,循環次數,中文,提取失敗,error,0.000,極低,"第70頁, 第163頁, 第8頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
6,指標6_循環再製次數,再利用次數,中文,提取失敗,error,0.000,極低,"第8頁, 第75頁, 第107頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
6,指標6_循環再製次數,再生次數,中文,提取失敗,error,0.000,極低,"第127頁, 第169頁, 第8頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
6,指標6_循環再製次數,可再製次數,中文,提取失敗,error,0.000,極低,"第107頁, 第8頁, 第167頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
6,指標6_循環再製次數,再加工循環,中文,提取失敗,error,0.000,極低,"第86頁, 第101頁, 第107頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
6,指標6_循環再製次數,材料耐久,中文,提取失敗,error,0.000,極低,"第144頁, 第55頁, 第169頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
6,指標6_循環再製次數,回收次數,中文,提取失敗,error,0.000,極低,"第107頁, 第169頁, 第108頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
6,指標6_循環再製次數,recycling cycles,英文,提取失敗,error,0.000,極低,"第55頁, 第8頁, 第163頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
6,指標6_循環再製次數,number of reuse times,英文,提取失敗,error,0.000,極低,"第120頁, 第169頁, 第163頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
6,指標6_循環再製次數,remanufacturing times,英文,提取失敗,error,0.000,極低,"第36頁, 第2頁, 第23頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
6,指標6_循環再製次數,recycled loops,英文,提取失敗,error,0.000,極低,"第75頁, 第107頁, 第168頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
6,指標6_循環再製次數,recycled material durability,英文,提取失敗,error,0.000,極低,"第109頁, 第107頁, 第55頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
6,指標6_循環再製次數,durability of recycled material,英文,提取失敗,error,0.000,極低,"第107頁, 第109頁, 第55頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
6,指標6_循環再製次數,material degradation,英文,提取失敗,error,0.000,極低,"第107頁, 第144頁, 第87頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
